商品房 小区环境好 户型方正采光好 诚心出售,缤纷家园 -湖西街,3室2厅 | 112.38平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,368,"32,747元/平"
仁恒绿洲新岛 精装修三房 采光视野开阔 满五年有车位,仁恒绿洲新岛水木园 -江心洲,3室2厅 | 128.23平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,518,"40,397元/平"
南北户型，单价低，交通出行便利，配套设施完善。,安国村 -南苑,2室1厅 | 58.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,125,"21,332元/平"
华润悦府 小区中间 一点不吵 户型方正四房 随时看,华润悦府 -湖西街,4室2厅 | 207.32平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,1050,"50,647元/平"
奥体 万达商圈 满五年 带电梯 户型好 城心出售,积善新寓睦和园 -万达广场,6室2厅 | 177.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,360,"20,274元/平"
满五年 小区以出新 在建七号线地铁站 采光充足,文体西村 -南湖,2室1厅 | 57.38平米 | 南 北 | 简装 | 低楼层(共3层)  | 板塔结合,152,"26,491元/平"
楼层好 拎包入住 满五唯一 生活交通便利 诚心卖房,虹苑新寓一村 -应天西路,2室1厅 | 64.6平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,185,"28,638元/平"
建邺南苑集庆门 健园 中间楼层 全明户型,健园 -南苑,2室1厅 | 61.23平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,180,"29,398元/平"
有车位，楼下54平 楼上80平 还有露台阳光房,真园 -南苑,3室3厅 | 54.5平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,199,"36,514元/平"
03年房龄电梯房次顶楼跃层户型采光良好,江南名府 -应天西路,3室1厅 | 166.69平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,535,"32,096元/平"
奥体紫鑫中华广场 精装四房 满五年 采光无遮挡,紫鑫中华广场 -兴隆大街,4室2厅 | 181.15平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,695,"38,366元/平"
莱蒙水榭春天 2室1厅 南,莱蒙水榭春天 -奥体,2室1厅 | 88.62平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,410,"46,265元/平"
中楼层，采光好，三房两卫  南北通透业主诚心出售,中海塞纳丽舍西苑 -奥体,3室2厅 | 115.51平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,640,"55,407元/平"
莲花嘉园 2室1厅 南,莲花嘉园 -油坊桥,2室1厅 | 71.12平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,140,"19,686元/平"
楼层好位置好装修好采光好满五年精装修拎包入住,白鹭花园凤栖苑 -湖西街,3室2厅 | 68.68平米 | 东 西 | 精装 | 低楼层(共7层)  | 板楼,168,"24,462元/平"
虹悦城  招商雍华府 旁金隅紫京府 中间楼层 万科物业,金隅紫京府 -兴隆大街,3室1厅 | 88平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,499,"56,705元/平"
新上  河西金鹰旁  万达 星雨华府  精装两房 高楼层,星雨华府 -万达广场,2室2厅 | 96.23平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,480,"49,881元/平"
佳兆业 精装四房 高楼层 东边户 景观好 有子母车位,佳兆业城市广场二期 -奥南,4室2厅 | 126.34平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,580,"45,908元/平"
户型板正大横厅 东边户采光好 南北通透湖景中间楼层,万科金色家园 -水西门,3室2厅 | 138.12平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,880,"63,713元/平"
双阳台 高楼层 看摩天轮和江景江景 有钥匙,海珀星晖 -奥南,4室2厅 | 143.85平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,745,"51,791元/平"
典雅居 花园洋房  户型方正 吾悦广场旁 生活便利,典雅居 -万达广场,3室1厅 | 92.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,340,"36,682元/平"
中楼层  7号线地铁口 有钥匙   业主诚意出,沿河二村 -南湖,2室1厅 | 51.83平米 | 西北 | 简装 | 高楼层(共6层)  | 板塔结合,108,"20,838元/平"
南湖 地铁七号线 文体西村 南北边户 精装修 中低楼层,文体西村 -南湖,2室1厅 | 47.59平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,161,"33,831元/平"
横塘西苑电梯顶跃三层有露台精装修 采光好银城物业,横塘西苑 -应天西路,3室2厅 | 137.86平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,555,"40,259元/平"
仁恒江湾城三期 品质四房 中高楼层 视野开阔 保养如新,仁恒江湾城三期 -奥体,4室2厅 | 182.12平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,1350,"74,127元/平"
此房满五唯一 户型方正 车位可以免费转让 全明格局,双和园 -奥体,3室2厅 | 94.86平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,338,"35,632元/平"
7号线 精装 中楼层 双南 三房  采光好 看房方便,利民东村 -南湖,3室1厅 | 60.31平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,168,"27,857元/平"
此房高楼层，双南双北，精装修拎包入住，，小区中间,明园 -茶南,2室1厅 | 63.43平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,142,"22,387元/平"
满五年 看房方便 总价低三房 居家装修,怡康新寓 -应天西路,3室1厅 | 76.77平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,228,"29,700元/平"
集庆门大街2000年商品房 双卧朝南采光佳 满五唯一省税,晔园 -南苑,2室1厅 | 62.34平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,172,"27,591元/平"
升龙三期  总高15层  全新未住  业主诚心卖,升龙天汇珑熙 -奥南,4室2厅 | 128.27平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,545,"42,489元/平"
业主诚售，高楼层，采光好，满二无增值税,招商雍和府 -奥南,3室2厅 | 88.92平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,368,"41,386元/平"
海珀星晖 精装大三房 有地暖 从未入住 随时可看,海珀星晖 -奥南,3室2厅 | 132.12平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,550,"41,629元/平"
奥体正北门 大三居二卫  业主诚售 看房方便,紫鑫中华广场 -兴隆大街,3室2厅 | 158.21平米 | 南 北 | 精装 | 18层  | 板楼,535,"33,816元/平"
佳兆业城市广场三期 精装新空四房 户型方正 南北通透,佳兆业城市广场三期 -奥南,4室2厅 | 125.32平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,570,"45,484元/平"
精装修 户型好 全南两房阳光好 生活便利 配套成熟,银河湾福苑 -万达广场,2室2厅 | 85.34平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,390,"45,700元/平"
云锦路地铁口 精装大三房，南北通透，居住舒适度强,仁园 -茶南,3室1厅 | 73.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,216,"29,468元/平"
河西中部 招商雍华府 精装四房 高楼层采光好 满五年,招商雍华府 -应天西路,4室2厅 | 142.48平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,699,"49,060元/平"
万达商圈 满五年 婚装 楼层好 业主诚心出售 户型通透,今日家园丹桂居 -万达广场,2室1厅 | 59.79平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,190,"31,778元/平"
挑高户型楼上下两层 有燃气 成熟配套商圈 停车方便,润花园 -南湖,1室1厅 | 43.92平米 | 东 | 简装 | 低楼层(共16层)  | 塔楼,148,"33,698元/平"
奥体元通宇宙，新城未占，精装修拎包入住，改2房,拉德芳斯 -奥体,1室2厅 | 73.34平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,330,"44,996元/平"
满五年 小区栋王位置 楼层好 采光足 边户 近地铁,莲花嘉园 -油坊桥,3室1厅 | 85.24平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,168,"19,710元/平"
双南户型 采光好 位置好 南北通透 地铁口满五年唯一,虹苑新寓三村 -应天西路,2室1厅 | 65.82平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,190,"28,867元/平"
精装修拎包入住 非顶楼 双地铁 环境好 金鹰万达,湖西街42号 -湖西街,2室2厅 | 79.24平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,195,"24,609元/平"
万达西地西边户，居家装修，价格美丽,万达西地一期 -万达广场,2室1厅 | 70.39平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,275,"39,069元/平"
河西CBD 三线地铁 园林宜居品质小区 中高区 采光炸裂,宋都美域沁园 -奥体,3室2厅 | 123.66平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,580,"46,903元/平"
金鹰万达 一楼带院子 不潮湿 南北 通风好 适合养老,白鹭花园凤栖苑 -湖西街,3室2厅 | 67.27平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,236,"35,083元/平"
新出跃层好房满五年使用面积大 有露台,晔园 -南苑,3室2厅 | 63.9平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,169,"26,448元/平"
奥体新城丹枫园叠加别墅  奥体北门 小区中间 带院子,奥体新城丹枫园 -奥体,5室2厅 | 201.57平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,1390,"68,959元/平"
集庆门大街地铁口 满五唯一 精装修 星雨华府 双南,星雨华府 -万达广场,2室1厅 | 96.6平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,475,"49,172元/平"
位置高采光好，自己居住保养好，诚心卖看房方便,宋都美域沁园 -奥体,2室2厅 | 92.38平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,398,"43,083元/平"
