恒大雅苑 前面绿地和湖景 看房随时联系 精装修房,恒大雅苑 -宝华商圈,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,80,"6,558元/平"
恒大雅苑 改善3房 双卫 价格好谈,恒大雅苑 -宝华商圈,3室1厅 | 132.22平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,85,"6,429元/平"
S6地铁口 新空毛坯两房 多层建筑 得房率很高 户型少有,逸品汤山二期 -凤凰城商圈,2室1厅 | 84.94平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,39,"4,592元/平"
房子好楼层全新家具家电一次未住,碧桂园凤凰城翰林湾 -凤凰城商圈,3室1厅 | 96.46平米 | 南 | 简装 | 中楼层(共31层)  | 塔楼,59,"6,117元/平"
采光很好。房东急售！装修好户型好!,凤坛花园 -宝华商圈,3室2厅 | 100平米 | 南 北 | 精装 | 7层  | 板塔结合,43,"4,300元/平"
四室采光辣眼，户型方正无遮挡满二业主诚心卖南北通透,碧桂园凤凰城芷兰湾 -凤凰城商圈,4室2厅 | 172.18平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,94,"5,460元/平"
卖点：视野宽阔，采光充足，配套设施齐全，交通便利,泰达青筑 -宝华商圈,3室2厅 | 102.08平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,70,"6,858元/平"
二次精装修，采光好，有车位，价格可谈,碧桂园凤凰城柏丽湾 -凤凰城商圈,4室2厅 | 273.7平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,155,"5,664元/平"
此房满二年 二次装修带地暖南北通透采光好..,碧桂园翡翠华府 -宝华商圈,4室2厅 | 133.59平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,135,"10,106元/平"
"经典三开间朝南房,充足采光，有大平台!",碧桂园世纪城邦 -郭庄商圈,3室1厅 | 118平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,50,"4,238元/平"
仙林东 万达茂大学印象 精装修三房  诚心卖 着急卖,碧桂园大学印象峰景苑 -宝华商圈,3室1厅 | 95.48平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,62,"6,494元/平"
位置好，视野开阔，采光无遮挡，业主诚心出售,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 135.36平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,67,"4,950元/平"
碧桂园 凤凰城 芷兰湾 环境好 风景好,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 105.58平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,52,"4,926元/平"
仙林东 宝华镇 仙林首望城  小高层,仙林首望城 -宝华商圈,4室2厅 | 113.71平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,94,"8,267元/平"
