采光充足，交通便利，天鸿苑不临高速，有钥匙随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.2平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,73,"5,522元/平"
万科棕榈苑98.81平，满二年，三房一卫，99.8万,万科城棕榈苑 -溧水城南,3室2厅 | 98.81平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,99.8,"10,101元/平"
视野开阔，采光充足，交通便利，设施成熟,美丽新城南区 -溧水城北,3室2厅 | 160.07平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,98,"6,123元/平"
恒大金碧天下 天鸿苑  诚心出售  看房方便,恒大金碧天下天鸿苑 -溧水恒大,4室2厅 | 165.5平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,83,"5,016元/平"
新小区电梯房 交通便利 环境好 楼层好 自住精装拎包入,湖韵怡居A区 -溧水城中,2室1厅 | 60平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,53,"8,834元/平"
前无遮挡 视野好 二次精装修满两年 拎包入住,万科城棕榈苑 -溧水城南,3室2厅 | 109.14平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,115,"10,537元/平"
无遮挡采光好，视野开阔，出行方便，配套成熟,琉璃花园 -溧水城南,3室2厅 | 123.21平米 | 南 | 简装 | 中楼层(共20层)  | 塔楼,100,"8,117元/平"
怡景佳园 楼龄新  小区环境好  户型好  前后无遮挡,怡景佳园 -溧水其它,2室1厅 | 63.43平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,29.3,"4,620元/平"
此房楼层好，前无遮挡，视野开阔，采光充足,恒大金碧天下天鸿苑 -溧水恒大,3室1厅 | 134平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,72,"5,374元/平"
精装大两房  南北双阳台  交通生活便利,爱涛天岳城 -溧水城南,2室2厅 | 89.52平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,83,"9,272元/平"
户型方正 全明户型 视野开阔 配套成熟 生活便捷,创维乐活城 -溧水城北,3室2厅 | 106.67平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,72,"6,750元/平"
精装修，采光好，税费少，有地铁，业主诚意出售,橡树城 -溧水城北,2室2厅 | 82.54平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,70,"8,481元/平"
此房满五，好楼层，通透，视野好，光照充足，业主急售,秦淮花苑福园 -溧水城北,2室2厅 | 61.23平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,39,"6,370元/平"
溧水城北 精装挑高 卧龙湖地铁口,金东城世家一期 -溧水城北,3室1厅 | 81.28平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,60,"7,382元/平"
恒大湖光苑 二次精装满二 好楼层 视野好,恒大金碧天下湖光苑 -溧水恒大,2室2厅 | 90.5平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,65,"7,183元/平"
房东诚意出售，精美装修，价格美丽！,万科城棕榈苑 -溧水城南,3室1厅 | 98.81平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,95,"9,615元/平"
"丽湖湾 精装修，户型好格局好方正, 满两年 邻近地铁",喜之郎丽湖湾 -溧水城北,2室2厅 | 80平米 | 南 | 精装 | 中楼层(共21层)  | 塔楼,57,"7,125元/平"
小区环境好 交通便利 生活方便 户型方正  看中可谈,南方绿邸 -溧水城南,3室2厅 | 88.87平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,88.8,"9,993元/平"
房产证满2年，采光好，环境优美，花园式小区,恒大金碧天下天鸿苑 -溧水恒大,2室2厅 | 84.89平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,48,"5,655元/平"
精装多层小两房，中间楼层，得房率高,琴韵华庭 -溧水城北,2室2厅 | 86.9平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,56,"6,445元/平"
交通配套：距离南京地铁s7号线1.3公里,碧桂园翡翠台 -溧水城南,3室1厅 | 118.15平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,125,"10,580元/平"
城南好房 万科物业 三房采光充足 满二 税少,万科城棕榈苑 -溧水城南,3室2厅 | 89.97平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,88.8,"9,870元/平"
琴韵华庭自住装修 拎包入住 看房方便,琴韵华庭 -溧水城北,2室2厅 | 86.9平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,58,"6,675元/平"
君兰苑 电梯洋房 南外地铁 满二 +产权车位,君兰苑 -溧水其它,2室2厅 | 91平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,50,"5,495元/平"
地理位置优越，设施齐全，满两年,溧水万达御景仕家二期 -溧水城南,4室2厅 | 119.12平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,128,"10,746元/平"
远洋万和四季3房2卫 精装修 好楼层 全明户型南北通透,远洋万和四季 -溧水其它,3室1厅 | 107.59平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,87.8,"8,161元/平"
溧水亚东九筑名邸精装三房出售 看房方便 业主诚心出售,亚东九筑名邸 -溧水城北,3室2厅 | 113.15平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,89,"7,866元/平"
创维文汇苑 户型好 采光充足 业主急售,创维文汇苑 -溧水城北,4室2厅 | 130.1平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,109.8,"8,440元/平"
中间楼层 满两年 精装修 价可谈,凤麟水苑 -溧水城南,2室1厅 | 65平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,70,"10,770元/平"
创维乐活城 电梯房 满两年 三开间朝南 采光好,创维乐活城 -溧水城北,3室1厅 | 93平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,65,"6,990元/平"
创维精装3房 拎包入住 保养九成新 急售！！！,创维乐活城 -溧水城北,3室2厅 | 96.37平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,72,"7,472元/平"
万科未来城 现房现买现住 不靠马路 3房！急售可谈,万科未来城 -溧水城北,3室1厅 | 88.39平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,79.8,"9,029元/平"
水岸新都花苑 精装修 商品房 配套齐全 近地铁,水岸新都 -溧水城南,4室2厅 | 142.9平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,155,"10,847元/平"
君兰苑电梯洋房大平层 双卫 鼓楼医院+南外+地铁 满二,君兰苑 -溧水其它,4室2厅 | 123.32平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,71.8,"5,823元/平"
湖景大三房 精装修 中间楼层 视野开阔,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,70,"5,427元/平"
楼层好采光充足  精装修  生活交通便利,碧桂园S1秦淮世家 -溧水其它,3室2厅 | 122.58平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,80,"6,527元/平"
楼层好，采光好，环境优美，花园式小区恒大品牌物业,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 104.09平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,60,"5,765元/平"
远洋小三房精装修，好楼层，户型方正，看房随时,远洋万和四季 -溧水其它,3室2厅 | 86.58平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,68,"7,855元/平"
溧水新街口，精装修三房，房东诚心出售,双塘景苑 -溧水城中,3室2厅 | 90.64平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,82,"9,047元/平"
创维乐活城，毛坯小三房，好楼层，价格便宜,创维乐活城 -溧水城北,3室2厅 | 93平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,58.5,"6,291元/平"
近游小 金中 精装修 拎包入住 户型方正,创维乐活城 -溧水城北,2室2厅 | 79.97平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,59.8,"7,478元/平"
"此房毛坯，户型好格局好方正, 满两年",喜之郎丽湖湾 -溧水城北,2室2厅 | 81.24平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,53,"6,524元/平"
创维乐活城 户型方正 采光好 刚需 游小和金中,创维乐活城 -溧水城北,3室2厅 | 93.2平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,55,"5,902元/平"
乐活城洋房，采光无遮挡 ，户型方正，交通便利,创维乐活城 -溧水城北,3室2厅 | 103.24平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,64,"6,200元/平"
小区坏境优美，物业管理尽职尽责，配套设施齐全,创维佳园 -溧水城北,3室2厅 | 106.47平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,60,"5,636元/平"
恒大天鸿苑大三室好楼层出售，开发商精装修，无改动,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 123.16平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,64,"5,197元/平"
户型方正，上学方便，交通便利，配套齐全,溧水万达御景仕家三期 -溧水城南,4室2厅 | 128.25平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,146,"11,385元/平"
此房是开 发商精装交付，四开间朝南，小区绿化好,溧水万达御景仕家三期 -溧水城南,4室2厅 | 143.41平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,159,"11,088元/平"
此房业主诚心出售，电梯洋房，得房率高，环境好,空港新都孔雀城 -溧水其它,3室2厅 | 100.39平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,70,"6,973元/平"
房东诚心出售，洋房，环境好，得房率高,空港新都孔雀城 -溧水其它,3室2厅 | 104.84平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,70,"6,677元/平"
位于溧水空港会展小镇 位于S7号线500米 南外500米,银城孔雀城天荟 -溧水其它,4室2厅 | 128.46平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,94,"7,318元/平"
此房精装，可拎包入住，户型好新小区环境好,远洋万和四季 -溧水其它,3室1厅 | 89.23平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,63,"7,061元/平"
好楼层，通风好，采光佳，透气性强，业主诚心卖。,万科未来城 -溧水城北,3室2厅 | 107.13平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,100,"9,335元/平"
创维文汇苑 电梯边户 简装满二 诚心出售,创维文汇苑 -溧水城北,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,76,"6,910元/平"
怡景佳园 电梯2房 鼓楼医院+地铁 可贷款！,怡景佳园 -溧水其它,2室2厅 | 63.34平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,30,"4,737元/平"
空港天荟 精装修地暖 79平两室 银城品牌物业,银城孔雀城天荟 -溧水其它,2室1厅 | 79.53平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,54,"6,790元/平"
万科未来城现房出售，好楼层好位置，近地铁，诚心出,万科未来城 -溧水城北,3室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,80,"9,051元/平"
怡景佳园 电梯精装2房 南外+地铁+鼓楼医院 有证！,怡景佳园 -溧水其它,2室1厅 | 63.43平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,33.6,"5,298元/平"
精装修 配套成熟 交通便利 环境好,康利华府 -溧水城南,2室1厅 | 92平米 | 南 | 其他 | 中楼层(共16层)  | 塔楼,108,"11,740元/平"
中山首府，小面积，好楼层人民医院旁,中山首府 -溧水城南,1室2厅 | 63.06平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,70,"11,101元/平"
房屋满二年，市民之家，配套齐全，适合自住,爱涛天岳城 -溧水城南,3室2厅 | 110.33平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,117,"10,605元/平"
满两年  楼层好采光视野佳  配套齐全 生活交通便利,万科城梧桐苑 -溧水城南,3室2厅 | 91.61平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,114,"12,445元/平"
多层好楼层，业主精装修没住过，诚心出售，采光充足,一品骊城 -溧水城北,2室1厅 | 90.38平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,80,"8,852元/平"
万科城梧桐苑精装三房，好楼层，视野开阔，采光足,万科城梧桐苑 -溧水城南,3室2厅 | 117.4平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,141.7,"12,070元/平"
多层满五年  楼层好  采光充足  出行生活便利,广成东方名城 -溧水城南,1室1厅 | 39.08平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,41.5,"10,620元/平"
户型方正电梯中间楼层精装交付交通出行便捷,空港新都孔雀城 -溧水其它,3室2厅 | 100.61平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,104,"10,337元/平"
河滨花园102平米精装三房诚心出售,河滨花园(溧水) -溧水城中,3室1厅 | 102.12平米 | 南 | 其他 | 高楼层(共20层)  | 塔楼,98,"9,597元/平"
景观房 视野无遮挡 阳光好 满两年 价可谈,碧桂园翡翠台 -溧水城南,4室2厅 | 143.26平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,189,"13,193元/平"
电梯房 户型方正 采光好 交通便捷 配套设施齐全,中山首府 -溧水城南,3室2厅 | 133.02平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,158,"11,878元/平"
电梯房，精装修 ，户型好，带地暖,溧水万达御景仕家二期 -溧水城南,3室2厅 | 113.35平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,144,"12,705元/平"
万达广场御景仕家一期 好房出售 满二年 带产权车位,溧水万达御景仕家一期 -溧水城南,3室2厅 | 118.07平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,150,"12,705元/平"
地铁沿线房，交通便捷，得房率高,水岸康城 -溧水城南,3室2厅 | 121.48平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,115,"9,467元/平"
此房楼层好 采光充足 公摊面积少 楼间距大 生活方便,荷花嘉苑 -溧水城北,3室2厅 | 119.38平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,80,"6,702元/平"
户型方正 采光好 业主诚心出售 交通便利,亚东同城逸境 -溧水城北,3室2厅 | 86.48平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,83,"9,598元/平"
碧桂园 一梯一户 有入户厅 中高楼层 诚心出售,碧桂园翡翠台 -溧水城南,3室2厅 | 118.13平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,138,"11,683元/平"
万科洋房，品质物业管理  精装修交付 满2年,万科城月桂苑 -溧水城南,3室2厅 | 111.81平米 | 南 北 | 其他 | 中楼层(共9层)  | 暂无数据,162,"14,489元/平"
空港新城 南外 会展小镇 银城洋房 地暖 未入住,银城孔雀城荟见未来 -溧水其它,3室2厅 | 84.74平米 | 南 北 | 其他 | 中楼层(共9层)  | 板塔结合,95,"11,211元/平"
此房满2年，户型方正，楼层好，采光视野无遮挡,金东城世家西园二期 -溧水城北,2室2厅 | 98.62平米 | 北 南 | 其他 | 低楼层(共11层)  | 板楼,88,"8,924元/平"
金东城世家西园二期   2-2-1   87.2平  95万,金东城世家西园二期 -溧水城北,2室2厅 | 87.2平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,91,"10,436元/平"
城南好位置，好楼层，毛坯，采光好,爱涛天岳城 -溧水城南,2室2厅 | 97.18平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,108,"11,114元/平"
溧水城南三开间朝南 户型方正 精装 拎包入驻,溧水万达御景仕家一期 -溧水城南,2室1厅 | 100.86平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,98,"9,717元/平"
电梯房， 前面没有遮挡， 采光充足，交通便利,南方新城B区 -溧水城南,2室1厅 | 63.2平米 | 南 | 精装 | 低楼层(共9层)  | 塔楼,62,"9,811元/平"
芳草名苑上叠，纯毛坯，价格可谈。,芳草名苑 -溧水其它,5室3厅 | 251.91平米 | 南 | 其他 | 中楼层(共4层)  | 板塔结合,100,"3,970元/平"
凯阳花园两室两厅 满5年 精装修 诚心卖,凯阳花园 -溧水城南,2室2厅 | 84.44平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,75,"8,883元/平"
山水墅洋房 毛坯交房  户型方正  空间够大,卧龙湖 -溧水其它,3室2厅 | 168.07平米 | 南 北 | 其他 | 低楼层(共4层)  | 板楼,129,"7,676元/平"
万科城棕榈苑 3室2厅 南,万科城棕榈苑 -溧水城南,3室2厅 | 89.9平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,108,"12,014元/平"
此房楼层在一楼挑高，视野开阔，开间敞亮，可商可住,恒大金碧天下天鸿苑 -溧水恒大,2室2厅 | 80平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,55,"6,875元/平"
此房满二 南北格局 采光好 精装修,幸福佳苑 -溧水城南,2室1厅 | 92.51平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,110,"11,891元/平"
此房纯毛坯，户型方正，交通便利，配套完善,爱涛天岳城 -溧水城南,2室1厅 | 90.13平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,118,"13,093元/平"
业主诚心出售 户型三开间朝南，户型方正，开发商装修,卓越景枫蔚蓝郡 -溧水城北,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,109,"10,187元/平"
业主急售，价格好谈，中间好楼层，满两年。,橡树城 -溧水城北,3室2厅 | 103.09平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,95,"9,216元/平"
房东急售！纯毛坯，想怎么装就怎么装！,爱涛天逸园 -溧水城中,3室2厅 | 113平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,103,"9,116元/平"
精装修满两年，格局好，视野好，花园式小区,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 134.51平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,78,"5,799元/平"
凤凰小镇  联排别墅环境优雅    天生桥风景区,凤凰小镇 -溧水城西,2室2厅 | 143.54平米 | 南 北 | 毛坯 | 2层  | 板塔结合,280,"19,507元/平"
好楼层电梯房，满2年，看中方便，房东诚心出售,一品骊城 -溧水城北,3室2厅 | 103.44平米 | 南 | 毛坯 | 高楼层(共10层)  | 板楼,93,"8,991元/平"
紫枫雅苑，精装好房，南北通透，户型方正。,紫枫雅苑 -溧水城北,3室2厅 | 113.82平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,86,"7,556元/平"
创维佳园  精装4房 南北通透 户型方正,创维佳园 -溧水城北,4室2厅 | 123.97平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,115,"9,277元/平"
二次精装修好房，户型方正，有大露台,琴韵华庭 -溧水城北,4室2厅 | 145平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,91,"6,276元/平"
全明户型，三房两厅，看房方便，房东诚心出售,美丽新城北区 -溧水城北,3室2厅 | 106.11平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,90,"8,482元/平"
位于城中，靠通济街，得房率高，拎包入住,财贸家园 -溧水城中,3室1厅 | 114.15平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,105,"9,199元/平"
南北向，通风效果好，视野宽阔，配套设施齐全,尚城领寓 -溧水城中,3室2厅 | 126.83平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,115,"9,068元/平"
卧龙湖小镇好房出售 满两年  小区环境好康养小镇,卧龙湖 -溧水其它,3室1厅 | 98.92平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,52,"5,257元/平"
爱涛天逸园 三房 精装 拎包入住,爱涛天逸园 -溧水城中,3室2厅 | 113.91平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,99,"8,692元/平"
视野开阔，采光充足，配套齐全·地段好,双塘佳苑 -溧水城中,3室1厅 | 102.66平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,89,"8,670元/平"
万景佳苑毛坯3房中间楼层诚心出售价格可议,万景佳苑 -溧水城北,3室2厅 | 118.34平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,95,"8,028元/平"
此房满两年，纯毛坯，中间楼层，采光无遮挡，视野开阔,颐园世家 -溧水其它,4室2厅 | 137.27平米 | 南 | 毛坯 | 低楼层(共5层)  | 平房,69,"5,027元/平"
户型方正，采光充足，视野宽阔，动静分离。楼间距合理,颐园世家 -溧水其它,3室2厅 | 107.53平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,52,"4,836元/平"
万辰广场好房出售 简单装修 满两年税少 看房方便,万辰广场 -溧水城中,3室2厅 | 124.48平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,130,"10,444元/平"
此房位于三地交汇处，交通便利，配套齐全，,颐园世家 -溧水其它,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,66,"5,547元/平"
城北成熟小区，配套齐全，生活便利，满两年。,琴韵华庭 -溧水城北,3室2厅 | 125.13平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,90,"7,193元/平"
秦淮东郡春节好房，春节可看，可签,秦淮东郡 -溧水城中,3室2厅 | 125.9平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,99,"7,864元/平"
溧水  城南 爱涛天岳城 3室2厅 毛坯 满两年,爱涛天岳城 -溧水城南,3室2厅 | 115.14平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,133,"11,552元/平"
卧龙湖地铁站 金东城世家  毛坯,金东城世家一期 -溧水城北,3室2厅 | 120.37平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,90,"7,477元/平"
万科品牌物业，交通便利，配套设施齐全,万科城梧桐苑 -溧水城南,3室2厅 | 91.61平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,115,"12,554元/平"
城南万科低价房  视野好 交通便利 公园旁,万科城棕榈苑 -溧水城南,3室2厅 | 89.97平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,108,"12,005元/平"
广成 精装  满五不唯一 配套齐全 交通便利 生活方便,广成东方名城 -溧水城南,3室2厅 | 127.81平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,120,"9,389元/平"
时代景园，简装满两年，87.69平，87万，看房方便,时代景园 -溧水城南,2室2厅 | 87.69平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,77,"8,781元/平"
荣昌花园 靠新县中 带储藏室 有钥匙随时看房,荣昌花园 -溧水城南,3室1厅 | 124.03平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,115,"9,272元/平"
"此房满二不唯一，无遮挡，采光好,毛坯。",嘉德园 -溧水城南,5室2厅 | 257.47平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,297,"11,536元/平"
凯阳电梯中间楼层 东边户 飞机户型全明格局 三居室,凯阳花园 -溧水城南,3室2厅 | 118.81平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,128,"10,774元/平"
恒大精装叠墅 三跃四 装修清爽 户型方正 诚心出售,恒大金碧天下闻涛苑 -溧水恒大,4室2厅 | 155.13平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,165,"10,637元/平"
房子满两年  楼层好 省溧中 生活交通便利,南方新城A区 -溧水城南,3室2厅 | 135.31平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,108,"7,982元/平"
此房楼层好，前无遮挡，视野开阔，,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 129.45平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,84,"6,489元/平"
满五唯一电梯房 房型方正  交通生活便利,凯阳花园 -溧水城南,3室1厅 | 114.35平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,145,"12,681元/平"
创维乐活城毛坯四房出售 次顶楼有电梯 诚心出售,创维乐活城 -溧水城北,4室2厅 | 126.26平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,99,"7,841元/平"
