亚泰梧桐世家 3室2厅 南,亚泰梧桐世家 -大厂,3室2厅 | 125.5平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,135,"10,757元/平"
南京六合区70年产权商品房 精装大2房 首付低采光好,东骏华府 -六合其它,2室2厅 | 84.21平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,42,"4,988元/平"
中杨新村 葛塘地铁口房源 中间楼层 诚心出,中杨新村 -大厂,2室1厅 | 76.35平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,81,"10,610元/平"
扬子十六村 双南 中间楼层 采光好 集中供暖 近地铁,扬子十六村 -大厂,2室1厅 | 56.08平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,69.5,"12,394元/平"
盘金华府 南北朝向 采光好 地铁口 桃湖公园 大三房,盘金华府 -大厂,3室1厅 | 113.51平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,135,"11,894元/平"
大厂地铁口 荣盛阿卡大三房 简装,荣盛阿尔卡迪亚 -大厂,3室1厅 | 118.82平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,150,"12,625元/平"
此房满五年 采光好 交通便利好楼层,荣盛阿尔卡迪亚 -大厂,2室2厅 | 86.11平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,110,"12,775元/平"
芳庭潘园 中间楼层 三房 近地铁 户型方正 全明,芳庭潘园 -大厂,3室1厅 | 89.79平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,92,"10,247元/平"
此房一梯两户 大两房 两房朝南 配套设施都很完善,扬子二村 -大厂,2室1厅 | 51.41平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,60,"11,671元/平"
宝润花园 地铁口736米 拎包入住 交通便利 配套齐全,宝润花园 -大厂,3室2厅 | 103.86平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,99,"9,533元/平"
紫艺华府 3室2厅 南,紫艺华府 -大厂,3室2厅 | 89.57平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,115,"12,840元/平"
盘金华府，采光好 位置佳，设施齐全，交通便利。,盘金华府 -大厂,3室2厅 | 108.86平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,135,"12,402元/平"
杨庄西村地铁口 满5年 中间楼层 电厂职工福利房,杨庄西村 -大厂,2室1厅 | 59.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,65,"10,908元/平"
芳庭潘园 一室一厅 配套齐全你交通方便 房主诚心卖,芳庭潘园 -大厂,1室1厅 | 41.66平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,63,"15,123元/平"
新华二村 满五唯一 精装修 拎包入住 交通生活便利,新华二村 -大厂,2室1厅 | 57.08平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,60,"10,512元/平"
湖滨村 满五年唯一  户型好 采光好 近地铁 配套成熟,湖滨村 -大厂,2室1厅 | 55平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,47,"8,546元/平"
阿尔卡迪亚，小区中间位置，中间楼层，采光好,荣盛阿尔卡迪亚 -大厂,3室2厅 | 109.57平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,170,"15,516元/平"
碧景山庄 三房 边户 南北贯通 双阳台 二卫,碧景山庄 -大厂,3室1厅 | 117.35平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,130,"11,078元/平"
阿尔卡迪亚 中高楼层 正三房 采光很好,荣盛阿尔卡迪亚 -大厂,3室2厅 | 107.65平米 | 东南 | 简装 | 高楼层(共18层)  | 板楼,138,"12,820元/平"
凤南园  简单装修三房  带露台相当于小院子 总价底,凤南园 -大厂,3室1厅 | 81.6平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,80,"9,804元/平"
阿卡精装三房 中间楼层 带储藏室 有租的车位 设施齐全,荣盛阿尔卡迪亚 -大厂,3室2厅 | 110.71平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,160,"14,453元/平"
荣盛阿尔卡迪亚 满五唯一 二房 近地铁 拎包入住,荣盛阿尔卡迪亚 -大厂,2室1厅 | 78.03平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,98,"12,560元/平"
南钢六村 好楼层  有钥匙看房方便 近地铁,大厂南钢六村 -大厂,2室1厅 | 64.65平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,59,"9,127元/平"
此房满五唯一 南北互通 适合刚需人群,盘金华府 -大厂,2室1厅 | 84.03平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,88,"10,473元/平"
冠城大通一期 毛坯两房 好楼层 视野开阔 南北户型,冠城大通蓝郡 -龙池,2室1厅 | 72.29平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,68,"9,407元/平"
扬子一中后门200米  一楼带院子 院子有房,扬子九村 -大厂,3室1厅 | 62.95平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,105,"16,680元/平"
新华五村三楼 两房朝南 采光好 满五唯一,新华五村 -大厂,2室1厅 | 63.01平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,75,"11,903元/平"
扬子十五村精装三房 配套成熟拎包入住,扬子十五村 -大厂,3室1厅 | 69.17平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,72,"10,410元/平"
中间楼层 满五唯一 诚心卖房 配套齐全,荣盛阿尔卡迪亚 -大厂,3室2厅 | 98.95平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,122,"12,330元/平"
诚售 江北新区 扬子五村 暖气房 中间楼层,扬子五村 -大厂,2室1厅 | 62.23平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,58,"9,321元/平"
扬子三村暖气房 中间楼层 采光充足  拎包入住,扬子三村 -大厂,2室0厅 | 46.81平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,50,"10,682元/平"
龙湖棠城 2室1厅 南,龙湖棠城 -南门新城,2室1厅 | 65平米 | 南 | 其他 | 低楼层(共20层)  | 板楼,76,"11,693元/平"
江北新区 桃湖公园 配套齐全 交通方便 楼层好,九龙洼 -大厂,2室1厅 | 64.61平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,50,"7,739元/平"
江北新区 盘金华府 南信大地铁口 精装修 拎包入住,盘金华府 -大厂,2室2厅 | 87.45平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,101,"11,550元/平"
葛塘新城 精装修暖气三房 品质小区提包入住,卓越蔚蓝星宸苑 -大厂,3室1厅 | 86.02平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,110,"12,788元/平"
荣盛首府 改善大三房 楼层佳 业主诚心卖 看房随时,荣盛首府 -大厂,3室2厅 | 126.78平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,185,"14,593元/平"
网红小区卸甲甸地铁口仁锦苑一室一厅电梯房拎包入住,仁锦苑 -大厂,1室1厅 | 48.35平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,54,"11,169元/平"
葛塘地铁站 扬子暖气两室 新房龄 采光无遮挡诚心出售,扬子十七村 -大厂,2室1厅 | 59.07平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,75,"12,697元/平"
房主诚心出售 S8龙池地铁站旁 随时看房,冠城大通蓝郡 -龙池,2室2厅 | 74.02平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,71,"9,593元/平"
骋望七里楠花园 简装三房 交通便利 配套成熟,骋望七里楠花园 -龙池,3室1厅 | 91.65平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,65,"7,093元/平"
葛塘新空电梯房中上楼层采光刺眼,君悦花园 -大厂,2室2厅 | 87.25平米 | 南 | 毛坯 | 中楼层(共20层)  | 板楼,69,"7,909元/平"
宝润花园 商品房 地铁口  南北通透 配套齐全 2004年,宝润花园 -大厂,3室1厅 | 100.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,91,"9,021元/平"
晓山北村新房龄的 总价低 500米到卸甲甸地铁口,晓山北村南苑 -大厂,3室2厅 | 78.96平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,89,"11,272元/平"
电梯次新房改善中间好楼层交通便利走路到大厂地铁站小,荣盛阿尔卡迪亚 -大厂,2室1厅 | 89.31平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,113,"12,653元/平"
骋望七里楠花园 舒适大平层  电梯大四房  诚心出售,骋望七里楠花园 -龙池,3室1厅 | 173.27平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,105,"6,060元/平"
仁锦苑  房龄新 中间楼层 小区中间位置,仁锦苑 -大厂,3室2厅 | 121.24平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,148,"12,208元/平"
文承苑 精装两房 二楼 家电齐全 拎包入住,荣盛文承苑 -大厂,2室1厅 | 64.95平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,85,"13,087元/平"
s8大厂站户型格局合理，双卫。楼层好，通风采光上乘,荣盛阿尔卡迪亚 -大厂,3室2厅 | 108.45平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,145,"13,371元/平"
荣盛文承熙苑.全新小区.环境优美.电梯暖气房.,荣盛文承熙苑 -大厂,3室2厅 | 86.84平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,112,"12,898元/平"
此房南北户型格局，双卧朝南，客厅带阳台 户型全明,紫艺华府 -大厂,3室2厅 | 94.01平米 | 东 | 毛坯 | 中楼层(共18层)  | 板楼,122,"12,978元/平"
房主诚心出售，价格不高，客户真心购买价格还有空间。,杨庄北村 -大厂,2室0厅 | 45.77平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,43.8,"9,570元/平"
晓山北村 双南 满五唯一 中间楼层 近地铁,晓山北村 -大厂,2室1厅 | 74.4平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,78,"10,484元/平"
草芳新苑 有车位 地下车库也装修了 拎包住,草芳新苑 -大厂,3室2厅 | 88平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,95,"10,796元/平"
产权清晰。楼层好。视野宽阔。采光充足。设施齐全。,骋望七里楠花园 -龙池,2室1厅 | 83平米 | 南 | 简装 | 中楼层(共24层)  | 暂无数据,56,"6,747元/平"
欧风花苑 满五年 看房随时 精装修 价格可谈,欧风花苑 -龙池,3室2厅 | 101.23平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,68,"6,718元/平"
文承苑 精装三房 有租的车位 看房方便,荣盛文承苑 -大厂,3室1厅 | 94.09平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,128,"13,604元/平"
草芳新苑三房 满五唯一 双南 全明 带阁楼 有大储藏室,草芳新苑 -大厂,4室2厅 | 92.22平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,99.8,"10,822元/平"
江北新区 卸甲甸地铁站 泰亿步行街  晓山北村南苑,晓山北村南苑 -大厂,3室1厅 | 79.97平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,74,"9,254元/平"
海棠花园 满五唯一 二外旁边  总价低,海棠花园 -大厂,2室1厅 | 57.66平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,66,"11,447元/平"
扬子七村 精装两房 好楼层 只要你出价 好谈,扬子七村 -大厂,2室1厅 | 46.81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,52,"11,109元/平"
恒大养生谷精装修电梯房有地暖新风系统方便看诚心出售,南京恒大养生谷 -六合其它,3室2厅 | 107.63平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,81,"7,526元/平"
九龙洼 2室1厅 南 北,九龙洼 -大厂,2室1厅 | 52.47平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,48,"9,149元/平"
新华七村 三楼 两房朝南 有储藏室,新华七村 -大厂,2室1厅 | 67.39平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,74,"10,981元/平"
中楼层 文承熙苑  户型通透  3房2厅精装  价格可谈,荣盛文承熙苑 -大厂,3室2厅 | 88.73平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,199,"22,428元/平"
此房满两年。楼层好。视野宽阔。采光充足。,荣城中苑 -南门新城,3室1厅 | 90.42平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,104,"11,502元/平"
凤南园，三房出售，采光好，房东诚心卖,凤南园 -大厂,3室1厅 | 90.97平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,105,"11,543元/平"
楼层好，户型好，地理位置好，生活便利，真正适合居住,腾泰雅苑 -大厂,3室2厅 | 94.44平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,180,"19,060元/平"
扬子二十一村 暖气房 电梯 交通便利 配套齐全采光充足,扬子二十一村 -大厂,3室1厅 | 95.82平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,190,"19,829元/平"
钻石华府 精装两房 采光视线无挡 交通便利,钻石华府 -南门新城,2室2厅 | 83.27平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,107,"12,850元/平"
九龙洼 总价低 诚心出售 价格看好可谈 均价1万左,九龙洼 -大厂,3室1厅 | 63.74平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,59,"9,257元/平"
福基紫景园大两房 全明户型 交通方便急卖价可谈,福基紫景园 -大厂,2室2厅 | 94.77平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,100,"10,552元/平"
芳庭潘园 江北新区 S8地铁口  有储藏室,芳庭潘园 -大厂,2室1厅 | 60.5平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,69,"11,405元/平"
怡景家园 电梯房 大三房 户型朝南 前后无遮挡 随时看,怡景佳园（六合） -大厂,3室1厅 | 99.98平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,144,"14,403元/平"
诚售 扬子三村 小三房 低总价 带暖气,扬子三村 -大厂,3室1厅 | 62.4平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,70,"11,218元/平"
主城区，配套成熟，诚心出售，采光好，带阁楼车库,名门花园 -六合主城,3室2厅 | 89.22平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,78,"8,743元/平"
地铁口 大三房 带储藏室 产权清晰 拎包入住,芳庭潘园 -大厂,3室1厅 | 90.06平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,123,"13,658元/平"
晓山北村 紧靠卸甲甸地铁站 户型方正 房主诚心出售,晓山北村 -大厂,2室2厅 | 81.98平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,95,"11,589元/平"
旭东新城旁兰亭苑精装大两房 品质小区S8大厂站,荣盛兰亭苑 -大厂,2室1厅 | 93.41平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,142,"15,202元/平"
精选单室 拎包入住 地铁口 总价低,芳庭潘园 -大厂,1室1厅 | 42.79平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,66,"15,425元/平"
城东新苑二期  采光好 毛坯房 无纠纷,城东新苑二期 -六合其它,2室1厅 | 94.56平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,58,"6,134元/平"
此房南北户型格局，全新精装修，保养好，看房方便,紫艺华府 -大厂,4室2厅 | 133平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,288,"21,655元/平"
此房位于江北新区南信大地铁口，两房朝南，精装,鑫庭雅苑 -大厂,2室1厅 | 81平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,115,"14,198元/平"
周洼新村 2室1厅 东南,周洼新村 -大厂,2室1厅 | 81.8平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,115,"14,059元/平"
大厂商圈阿尔卡迪亚刚需两房设施齐全拎包入住,荣盛阿尔卡迪亚 -大厂,2室2厅 | 68.61平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,86,"12,535元/平"
杨庄西村 满五唯一 双南 全明 卸甲甸地铁站旁,杨庄西村 -大厂,2室1厅 | 59.26平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,68,"11,475元/平"
新华四村 暖气房 有储藏室 急售 可谈,新华四村 -大厂,2室2厅 | 64.33平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,62,"9,638元/平"
