石杨路 紫杨佳园 高层 房龄新纯边户 全明通透 急售,紫杨佳园 -月牙湖,2室1厅 | 85.36平米 | 南 | 毛坯 | 高楼层(共21层)  | 板塔结合,132,"15,464元/平"
南部新城 保利堂悦 不临街 业主诚心出售 有车位,保利堂悦 -洪家园,3室1厅 | 94.91平米 | 东南 | 精装 | 低楼层(共28层)  | 板塔结合,365,"38,458元/平"
武学园 朝南 主力户型 98年带电梯 钟英,武学园小区 -新街口,2室1厅 | 73.02平米 | 南 西南 | 简装 | 中楼层(共30层)  | 塔楼,299,"40,948元/平"
秦淮花园老门东夫子庙景区报恩寺武定门地铁口,秦淮花园 -长乐路,2室2厅 | 71.07平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,210,"29,549元/平"
钟英 精装两房  电梯 采光好 全明  大金 博世 西门子,观城 -升州路,2室2厅 | 69.46平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,315,"45,350元/平"
中间楼层边户 采光好 视野好 装修好 诚心卖,丁村小区 -长乐路,3室1厅 | 62.57平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,158,"25,252元/平"
电梯房 采光好 有钥匙 随时看 不占,洪武高层 -新街口,2室1厅 | 66.51平米 | 西 | 精装 | 高楼层(共25层)  | 塔楼,259,"38,942元/平"
常府街 郑和公园旁 独立小区 精装修 采光不挡中间楼层,火瓦巷 -新街口,2室1厅 | 50.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,290,"57,200元/平"
楼层好 采光好 南北通透 夫子庙地铁3号线5号线,大四福巷 -夫子庙,3室2厅 | 93.22平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,313,"33,577元/平"
商场旁，100平院子，30平储藏室，换房急售,王府园小区 -升州路,3室1厅 | 105.33平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,546,"51,838元/平"
小区环境优雅 双阳台 不临街 交通方便 配套齐全,世茂君望墅 -月牙湖,3室2厅 | 111.5平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,349,"31,301元/平"
大光路电梯房，地铁口，瑞小，景观好房，看房方便,宏鹰大厦 -大光路,2室1厅 | 119.04平米 | 东 | 简装 | 中楼层(共25层)  | 板楼,198,"16,634元/平"
夫子庙商圈 秦淮河畔 东水关旁边  全明采光佳,七里街20号 -秦虹,3室1厅 | 61.88平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,170,"27,473元/平"
银龙花园三期 4室1厅 南,银龙花园三期 -月牙湖,4室1厅 | 106.7平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,170,"15,933元/平"
钟英双南户型，高楼层采光视野无遮挡，小区环境好,金盾公寓 -新街口,2室2厅 | 73.46平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,360,"49,007元/平"
