鸡鸣寺 浮桥地铁口 低总价双南二房,太平北路130号 -珠江路,2室1厅 | 56.9平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,175,"30,756元/平"
红庙小区 中间位置 满五唯一 采光好,红庙小区 -长江路,3室1厅 | 67.48平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,258,"38,234元/平"
南理工下马坊地铁口 4房2卫 满五唯一 精装修,钟山花园城山水居 -卫岗,4室2厅 | 135.65平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,622,"45,854元/平"
科利华 全明户型  楼层好 业主诚售,中央路（玄武） -玄武门,3室1厅 | 76.32平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,260,"34,068元/平"
采光充足，顶带阁楼，视野无遮挡，生活配套齐全,仙居雅苑 -仙鹤门,5室2厅 | 137.74平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,178,"12,923元/平"
科利华 高楼门 不临街 不占用 采光充足,高楼门 -玄武门,2室1厅 | 49.3平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,270,"54,767元/平"
紫金山下 玄武湖旁 精装6层大洋房,新世界花园 -锁金村,3室2厅 | 136.19平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,750,"55,071元/平"
南理工 满五年唯一 一楼带院子 位置安静 配套齐,南理工华园小区 -孝陵卫,3室1厅 | 63.9平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,252,"39,437元/平"
位置好 ，小区位置好，靠地铁，交通便利，有储藏室,仙居雅苑 -仙鹤门,3室1厅 | 91.32平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,158,"17,302元/平"
科利华 南大房改 环境好 房龄新 双地铁,大钟新村 -玄武门,2室1厅 | 65.48平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,368,"56,201元/平"
新街口德基广场 低总价 电梯房 视野开阔 户型方正,估衣廊 -长江路,2室1厅 | 89.44平米 | 西 | 精装 | 中楼层(共34层)  | 塔楼,269,"30,077元/平"
玄武区科利华中-央路大两房业主诚心出售好房看房方便,中央路（玄武） -玄武门,2室1厅 | 66.38平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,260,"39,169元/平"
下马坊地铁口 总价低两室 紫金山脚下 生活方便,卫岗25号小区 -卫岗,2室1厅 | 49.85平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,99,"19,860元/平"
成小 太平桥南 独立大门 可停车 小区中间位置 不临街,太平桥南 -长江路,2室1厅 | 52.33平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,192,"36,691元/平"
满五唯一，中间楼层，双南一北全明，精装修,百子亭 -玄武门,3室2厅 | 78.11平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,365,"46,729元/平"
满五年唯一 低楼层 阳光采光无遮挡 精装三房 全明户型,北极西村 -玄武门,3室1厅 | 66.84平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,321,"48,026元/平"
科利华 高楼门 3开间朝南 带阳台 双卫 中楼层 东边户,高楼门 -玄武门,4室2厅 | 135.76平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,550,"40,513元/平"
柳营100号小区 农机所单位房改 环境好 停车方便,柳营100号 -孝陵卫,2室1厅 | 56.8平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,115,"20,247元/平"
科利华 高楼门 1998年 精装修 带大露台 一梯一户 全明,高楼门 -玄武门,2室1厅 | 51.98平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,236,"45,403元/平"
新玄武9层电梯洋房 小区中间位置 三房两卫 楼间距大,中电颐和家园尚玄 -红山,3室2厅 | 118.9平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,406,"34,147元/平"
满五唯一，一楼带大院子，双阳台，双南一北，东边户,江苏农科院住宅小区 -孝陵卫,3室1厅 | 74.79平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,280,"37,439元/平"
