地铁口韩府坊三房 双南一北 精装 看房方便,春江新城韩府坊 -铁心桥,4室1厅 | 84.31平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,175,"20,757元/平"
双地铁 景观房 中高楼层视野好采光足 无个税,名城世家花园 -小行,2室2厅 | 80.68平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,265,"32,846元/平"
南站南京 万科品质物业 次新房 配套完善,万科九都荟 -岔路口,3室1厅 | 92.45平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,398,"43,051元/平"
金地六期 纯正中高楼层毛坯  采光佳无遮挡 满五唯一,金地自在城第六街区 -板桥,3室1厅 | 81.61平米 | 东南 | 其他 | 高楼层(共32层)  | 板楼,125,"15,317元/平"
小区很新 环境好 中高层楼型 采光视野好 方正3房,明发浦泰梦幻家 -板桥,3室2厅 | 85.66平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,135,"15,760元/平"
小区环境幽静，户型方正，莲花湖畔，金地物业,金地自在城第一街区 -板桥,4室1厅 | 135.39平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,235,"17,358元/平"
莲花湖旁 古雄新居  湖景 精装三房 拎包入住诚心出售,古雄新居 -梅山,3室2厅 | 89.18平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,132,"14,802元/平"
户型方正  采光好 业主诚心出售,明发浦泰梦幻家 -板桥,3室1厅 | 85.61平米 | 南 | 简装 | 中楼层(共19层)  | 塔楼,145,"16,938元/平"
小区中间 采光好 精装修 平治社区楼层无遮挡.精装修,平治东苑 -岱山新城,3室1厅 | 87.18平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,162,"18,583元/平"
莱蒙水榭阳光 精装小三房 有产权车位 诚心急售 满五,莱蒙水榭阳光 -铁心桥,3室1厅 | 87.66平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,265,"30,231元/平"
岱山新城 义德西苑大两房 中间楼层 采光无遮挡 诚售,义德西苑 -岱山新城,2室2厅 | 74.3平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,112,"15,075元/平"
雨花吾悦广场 梦幻家 满五唯一 东边户全明三房 包车位,明发浦泰梦幻家 -板桥,3室1厅 | 86.36平米 | 东南 | 其他 | 低楼层(共19层)  | 板塔结合,151,"17,485元/平"
时光澔韵 2室1厅 南 北,时光澔韵 -小行,2室1厅 | 85.91平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,275,"32,011元/平"
