Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
71.8,7595,Gaochun,94.54,Fully Furnished,3,2,27,19,0
88,6938,Gaochun,126.84,Fully Furnished,4,2,23,17,0
100,7746,Gaochun,129.1,Other,4,2,27,19,1
123.8,7942,Gaochun,155.89,Other,4,2,5,3,0
72.8,5469,Gaochun,133.13,Other,3,2,6,5,1
85.8,6514,Gaochun,131.72,Fully Furnished,3,2,6,3,0
78,6687,Gaochun,116.66,Fully Furnished,3,2,3,1,1
95.8,9105,Gaochun,105.22,Fully Furnished,3,1,8,6,1
85,6931,Gaochun,122.64,Not Furnished,3,2,27,19,1
110,8258,Gaochun,133.21,Other,3,2,27,13,1
125,10762,Gaochun,116.15,Fully Furnished,3,2,27,13,1
50,4052,Gaochun,123.42,Not Furnished,3,2,6,5,1
75,8661,Gaochun,86.6,Fully Furnished,3,1,11,5,1
74.8,5846,Gaochun,127.97,Not Furnished,4,2,27,19,1
93,7893,Gaochun,117.83,Not Furnished,3,2,20,15,1
110,7630,Gaochun,144.17,Not Furnished,4,2,18,4,1
140,9240,Gaochun,151.52,Not Furnished,4,2,17,4,1
54.8,6650,Gaochun,82.41,Other,2,2,19,14,1
98,7547,Gaochun,129.86,Other,4,2,6,2,1
110,10082,Gaochun,109.11,Other,3,2,8,6,0
63,7359,Gaochun,85.61,Other,3,2,20,15,0
98,7355,Gaochun,133.25,Other,3,2,27,6,0
47,5337,Gaochun,88.07,Not Furnished,3,1,24,11,1
128,7563,Gaochun,169.25,Not Furnished,5,2,10,3,1
60,7332,Gaochun,81.84,Fully Furnished,3,2,6,5,1
52,5296,Gaochun,98.2,Other,3,2,11,3,0
92,6961,Gaochun,132.17,Other,4,2,6,5,1
71,6864,Gaochun,103.44,Other,3,2,27,13,1
93,6821,Gaochun,136.36,Other,3,2,26,12,1
72,6965,Gaochun,103.38,Other,3,2,27,6,0
60,6433,Gaochun,93.28,Other,3,2,23,5,1
82,6686,Gaochun,122.65,Other,3,2,27,6,0
118,9677,Gaochun,121.94,Other,3,2,20,10,1
84.8,6640,Gaochun,127.73,Other,3,2,6,3,0
150,10579,Gaochun,141.8,Other,3,2,6,2,1
76,6080,Gaochun,125.02,Other,4,2,26,6,1
106,8918,Gaochun,118.87,Other,4,2,7,4,1
65,7803,Gaochun,83.31,Other,3,2,4,3,0
89.8,7622,Gaochun,117.83,Other,3,2,20,10,1
68.8,7215,Gaochun,95.37,Other,3,2,20,5,1
75,5935,Gaochun,126.38,Other,3,2,16,12,1
87.8,8216,Gaochun,106.87,Other,3,2,7,4,0
75.8,6039,Gaochun,125.53,Other,3,2,7,5,0
120.8,8122,Gaochun,148.75,Other,4,2,9,5,1
123,7046,Gaochun,174.58,Fully Furnished,5,2,6,5,1
80,7620,Gaochun,105,Not Furnished,3,1,8,6,1
99.8,7312,Gaochun,136.49,Other,4,2,26,12,1
106,7962,Gaochun,133.14,Not Furnished,3,2,27,6,1
105,8223,Gaochun,127.7,Other,4,2,8,2,1
96,7211,Gaochun,133.14,Part Furnished,3,2,30,14,1
225,18704,Gaochun,120.3,Fully Furnished,3,2,5,3,1
95,8799,Gaochun,107.97,Fully Furnished,3,2,25,6,1
63,4780,Gaochun,131.82,Not Furnished,4,2,24,5,1
90,6828,Gaochun,131.82,Not Furnished,4,2,24,11,0
75,7368,Gaochun,101.8,Not Furnished,3,1,6,2,1
90,6871,Gaochun,130.99,Other,4,2,24,17,1
85,6444,Gaochun,131.91,Not Furnished,4,2,23,5,1
65,5727,Gaochun,113.51,Not Furnished,3,2,24,5,1
110,9367,Gaochun,117.44,Fully Furnished,4,2,11,8,1
55,5897,Gaochun,93.28,Part Furnished,3,2,23,11,1
110,8620,Gaochun,127.62,Not Furnished,3,2,8,4,1
55.8,6422,Gaochun,86.9,Not Furnished,2,1,11,3,1
102,7420,Gaochun,137.47,Not Furnished,3,2,18,13,1
58,6139,Gaochun,94.48,Other,3,2,6,3,1
90,7756,Gaochun,116.05,Not Furnished,3,2,5,3,1
69.8,6419,Gaochun,108.75,Part Furnished,3,2,9,7,1
79.8,7222,Gaochun,110.51,Not Furnished,3,2,11,5,1
125,10035,Gaochun,124.57,Fully Furnished,3,2,9,7,1
58,5803,Gaochun,99.95,Part Furnished,2,2,6,2,1
69,7732,Gaochun,89.24,Not Furnished,3,2,11,5,0
132.8,9147,Gaochun,145.19,Fully Furnished,4,2,20,15,1
79.8,9066,Gaochun,88.03,Fully Furnished,3,1,6,2,1
69.8,5368,Gaochun,130.03,Part Furnished,3,2,6,2,0
67.8,7141,Gaochun,94.95,Not Furnished,3,2,20,10,1
65,7043,Gaochun,92.3,Fully Furnished,3,2,27,13,1
135,8865,Gaochun,152.29,Part Furnished,5,2,8,6,1
118,10048,Gaochun,117.44,Fully Furnished,4,2,11,5,1
78,6676,Gaochun,116.84,Fully Furnished,3,2,6,3,1
95,7198,Gaochun,131.99,Other,4,2,6,3,1
114,9630,Gaochun,118.39,Fully Furnished,4,2,7,4,1
110,8158,Gaochun,134.85,Part Furnished,3,2,11,5,1
79.8,7513,Gaochun,106.22,Other,3,2,8,4,0
56,6022,Gaochun,93,Other,3,2,27,19,1
63,6775,Gaochun,93,Other,3,2,23,17,1
78.8,9464,Gaochun,83.27,Other,2,2,6,3,1
42,5343,Gaochun,78.61,Other,2,2,6,3,0
95,7130,Gaochun,133.25,Other,3,2,27,6,1
110,8256,Gaochun,133.25,Other,3,2,27,6,1
78,5859,Gaochun,133.15,Other,3,2,27,6,1
106,8928,Gaochun,118.73,Other,4,2,8,4,0
52,5212,Gaochun,99.77,Other,3,2,11,3,0
68.8,5753,Gaochun,119.59,Other,3,2,6,5,0
95,7984,Gaochun,118.99,Other,4,2,7,2,0
76.8,6311,Gaochun,121.7,Other,3,2,5,3,1
